Tabelle: 48112-0004
Unternehmen (EU), Waren- und Dienstleistungskäufe, ;;;;;;;;;;;;;;;;;;
Bruttoinvestitionen u.w. betriebsw. Kennzahlen: Deutschland,;;;;;;;;;;;;;;;;;;
Jahre, Wirtschaftszweige (WZ2008 1-4-Steller Hierarchie);;;;;;;;;;;;;;;;;;
Bereichsübergreifende Unternehmensstatistik;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;
;;Unternehmen (EU);Waren- und Dienstleistungskäufe;Käufe v.Waren u.DL z.Wiederverk. i.unveränd. Zust.;Aufwendungen für Leiharbeitnehmer;Käufe von Energieprodukten;Vorratsveränd. bei fertigen und unfertigen Waren;Vorratsveränderungen bei Waren;Vorratsveränderungen bei Waren f. d. Wiederverkauf;Bruttoinvestitionen in Sachanlagen;Bruttoinvestitionen in Maschinen und Ausrüstungen;Bruttoinvest. in langfrist. immat. Vermögenswerte;Kosten für Rohstoffe bzw. Rohstoffeinkauf;Rohstoffverbrauch;Handelswareneinsatz;Zahlungen an Unterauftragnehmer;Einkünfte aus Unteraufträgen;Kosten für Mieten und Pachten
;;Anzahl;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR;Mill. EUR
2018;;;;;;;;;;;;;;;;;;
WZ08-4339;      Sonstiger Ausbau a.n.g.;12150;2063;31;.;.;.;-;.;60;.;.;.;.;.;.;.;-
WZ08-439;    Sonstige spezialisierte Bautätigkeiten;55833;26865;748;3;.;.;-;.;1624;.;.;.;.;.;.;.;-
WZ08-4391;      Dachdeckerei und Zimmerei;29129;13273;483;0;.;.;-;.;739;.;.;.;.;.;.;.;-
WZ08-4399;      Sonstige spezialisierte Bautätigkeiten a.n.g.;26704;13592;265;2;.;.;-;.;884;.;.;.;.;.;.;.;-
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;542120;1798232;1560324;5353;.;.;-;.;29109;.;.;.;.;.;.;.;-
WZ08-45;  Kfz-Handel, Instandhaltung und Reparatur von Kfz;106280;235724;208527;326;.;.;-;.;5087;.;.;.;.;.;.;.;-
WZ08-451;    Handel mit Kraftwagen;36780;178452;164194;111;.;.;-;.;3674;.;.;.;.;.;.;.;-
WZ08-4511;      Handel mit Kraftwagen mit Gesamtgewicht bis 3,5t;34290;169469;155998;104;.;.;-;.;3326;.;.;.;.;.;.;.;-
WZ08-4519;      Handel mit Kraftwagen mit Gesamtgewicht über 3,5t;2490;8983;8196;6;.;.;-;.;348;.;.;.;.;.;.;.;-
WZ08-452;    Instandhaltung und Reparatur von Kraftwagen;48359;18232;10963;43;.;.;-;.;965;.;.;.;.;.;.;.;-
WZ08-453;    Handel mit Kraftwagenteilen und -zubehör;16110;35129;29961;169;.;.;-;.;362;.;.;.;.;.;.;.;-
WZ08-4531;      Großhandel mit Kraftwagenteilen und -zubehör;2734;26559;23098;92;.;.;-;.;198;.;.;.;.;.;.;.;-
WZ08-4532;      Einzelhandel mit Kraftwagenteilen und -zubehör;13376;8570;6863;78;.;.;-;.;164;.;.;.;.;.;.;.;-
WZ08-454;    Handel m.Krafträder,Teile u.Zubeh.,Instandh.u.Rep.;5031;3911;3409;3;.;.;-;.;85;.;.;.;.;.;.;.;-
WZ08-46;  Großhandel (ohne Handel mit Kraftfahrzeugen);135981;1011432;901429;2262;.;.;-;.;11660;.;.;.;.;.;.;.;-
WZ08-461;    Handelsvermittlung;35946;6241;3945;34;.;.;-;.;224;.;.;.;.;.;.;.;-
WZ08-4611;      V.v. landw.Grundstf.,leb.Tieren,text.Rohstf. usw;717;121;65;0;.;.;-;.;7;.;.;.;.;.;.;.;-
WZ08-4612;      V.v. Brennstf.,Erzen,Metallen u.techn.Chemikalien;1006;126;72;.;.;.;-;.;5;.;.;.;.;.;.;.;-
WZ08-4613;      V.v. Holz, Baustoffen und Anstrichmitteln;4947;487;214;2;.;.;-;.;39;.;.;.;.;.;.;.;-
WZ08-4614;      V.v. Maschinen,techn.Bedarf,Wasser-u.Luftfahrz.;8237;1604;942;9;.;.;-;.;51;.;.;.;.;.;.;.;-
WZ08-4615;      V.v. Möbeln, Einr.-u.Haush.gegenst., Metallwaren;3279;863;622;7;.;.;-;.;11;.;.;.;.;.;.;.;-
WZ08-4616;      V.v. Textilien, Bekleidung, Schuhen u. Lederwaren;4451;694;440;5;.;.;-;.;19;.;.;.;.;.;.;.;-
WZ08-4617;      V.v. Nahrungsmitteln, Getränken und Tabakwaren;2781;1534;1341;1;.;.;-;.;43;.;.;.;.;.;.;.;-
WZ08-4618;      V.v. sonstigen Waren;10167;756;210;9;.;.;-;.;48;.;.;.;.;.;.;.;-
WZ08-4619;      V.v. Waren ohne ausgeprägten Schwerpunkt;360;57;39;.;.;.;-;.;1;.;.;.;.;.;.;.;-
WZ08-462;    Großhandel m.landw.Grundstoffen u.lebenden Tieren;5148;45292;41808;84;.;.;-;.;487;.;.;.;.;.;.;.;-
WZ08-4621;      Großh.m. Getreide,Rohtabak,Saatgut u.Futtermitteln;1798;26900;24669;28;.;.;-;.;337;.;.;.;.;.;.;.;-
WZ08-4622;      Großhandel mit Blumen und Pflanzen;1179;4494;3878;52;.;.;-;.;76;.;.;.;.;.;.;.;-
WZ08-4623;      Großhandel mit lebenden Tieren;1926;13412;12868;4;.;.;-;.;70;.;.;.;.;.;.;.;-
WZ08-4624;      Großhandel mit Häuten, Fellen und Leder;246;486;393;0;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-463;    Großh.m. Nahrungs-,Genussm.,Getränken u.Tabakwaren;13606;214213;195899;471;.;.;-;.;2131;.;.;.;.;.;.;.;-
WZ08-4631;      Großhandel mit Obst, Gemüse und Kartoffeln;2190;28854;26229;90;.;.;-;.;385;.;.;.;.;.;.;.;-
WZ08-4632;      Großhandel mit Fleisch und Fleischwaren;1402;10624;9471;66;.;.;-;.;113;.;.;.;.;.;.;.;-
WZ08-4633;      Großh.m. Milcherzeugn.,Eiern,Speiseöl u.ä.Fetten;801;10261;9509;24;.;.;-;.;53;.;.;.;.;.;.;.;-
WZ08-4634;      Großhandel mit Getränken;2982;16949;14467;51;.;.;-;.;254;.;.;.;.;.;.;.;-
WZ08-4635;      Großhandel mit Tabakwaren;270;18808;18339;15;.;.;-;.;48;.;.;.;.;.;.;.;-
WZ08-4636;      Großhandel mit Zucker, Süßwaren und Backwaren;709;4809;3776;15;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-4637;      Großhandel mit Kaffee, Tee, Kakao und Gewürzen;823;5099;4287;11;.;.;-;.;94;.;.;.;.;.;.;.;-
WZ08-4638;      Großhandel mit sonst. Nahrungs- und Genussmitteln;3281;32232;27731;53;.;.;-;.;318;.;.;.;.;.;.;.;-
WZ08-4639;      Großh.m. Nahrungs-,Genussm.,Getränken u.Tabakw.oaS;1149;86578;82090;143;.;.;-;.;817;.;.;.;.;.;.;.;-
WZ08-464;    Großh.m. Gebrauchs- und Verbrauchsgütern;27331;223635;192973;570;.;.;-;.;2516;.;.;.;.;.;.;.;-
WZ08-4641;      Großhandel mit Textilien;1061;3454;2850;18;.;.;-;.;122;.;.;.;.;.;.;.;-
WZ08-4642;      Großhandel mit Bekleidung und Schuhen;3085;19463;15468;50;.;.;-;.;404;.;.;.;.;.;.;.;-
WZ08-4643;      Großh.m. Foto-,opt.Erzeugn.,elektr.Haush.ger. usw;1950;31871;27940;72;.;.;-;.;139;.;.;.;.;.;.;.;-
WZ08-4644;      Großh.m. keram.Erzeugn., Glaswaren u.Reinigungsm.;1280;6111;4968;16;.;.;-;.;83;.;.;.;.;.;.;.;-
WZ08-4645;      Großh.m. kosmet.Erzeugnissen u.Körperpflegemitteln;1487;9363;6526;35;.;.;-;.;101;.;.;.;.;.;.;.;-
WZ08-4646;      Großh.m. pharmazeut., med.u.othopäd. Erzeugnissen;6471;98195;88787;196;.;.;-;.;949;.;.;.;.;.;.;.;-
WZ08-4647;      Großh.m. Möbeln, Teppichen, Lampen und Leuchten;2165;7342;6253;16;.;.;-;.;151;.;.;.;.;.;.;.;-
WZ08-4648;      Großhandel mit Uhren und Schmuck;693;3805;3219;8;.;.;-;.;37;.;.;.;.;.;.;.;-
WZ08-4649;      Großh.m. sonstigen Gebrauchs- und Verbrauchsgütern;9138;44030;36963;158;.;.;-;.;530;.;.;.;.;.;.;.;-
WZ08-465;    Großh.m. Geräten d.Informat.-u.Kommunik.technik;5734;108302;98050;364;.;.;-;.;624;.;.;.;.;.;.;.;-
WZ08-4651;      Großh.m. DV-Gerät.,peripheren Einheiten u.Software;4071;70378;64120;305;.;.;-;.;389;.;.;.;.;.;.;.;-
WZ08-4652;      Großh.m. elektron.Bauteilen und Telekomm.geräten;1663;37923;33930;59;.;.;-;.;235;.;.;.;.;.;.;.;-
WZ08-466;    Großh.m. sonst.Maschinen, Ausrüstungen u.Zubehör;20451;90397;76681;306;.;.;-;.;1882;.;.;.;.;.;.;.;-
WZ08-4661;      Großh.m. landwirtschaftlichen Maschinen u. Geräten;1345;13091;11489;27;.;.;-;.;228;.;.;.;.;.;.;.;-
WZ08-4662;      Großhandel mit Werkzeugmaschinen;1601;6406;5351;15;.;.;-;.;108;.;.;.;.;.;.;.;-
WZ08-4663;      Großh.m. Bergwerks-, Bau- und Baustoffmaschinen;705;6664;5843;7;.;.;-;.;461;.;.;.;.;.;.;.;-
WZ08-4664;      Großh.m. Textil-, Näh- und Strickmaschinen;49;268;211;0;.;.;-;.;3;.;.;.;.;.;.;.;-
WZ08-4665;      Großhandel mit Büromöbeln;1607;2935;2477;7;.;.;-;.;35;.;.;.;.;.;.;.;-
WZ08-4666;      Großh.m. sonstigen Büromaschinen u. -einrichtungen;678;2204;1909;6;.;.;-;.;30;.;.;.;.;.;.;.;-
WZ08-4669;      Großh.m. sonstigen Maschinen und Ausrüstungen;14466;58829;49401;243;.;.;-;.;1017;.;.;.;.;.;.;.;-
WZ08-467;    Sonstiger Großhandel;24410;296423;268271;363;.;.;-;.;3497;.;.;.;.;.;.;.;-
WZ08-4671;      Großh.m. festen Brennstoffen und Mineralölerzeugn.;1471;97730;91137;23;.;.;-;.;609;.;.;.;.;.;.;.;-
WZ08-4672;      Großh.m. Erzen, Metallen und Metallhalbzeug;2662;47408;44065;71;.;.;-;.;477;.;.;.;.;.;.;.;-
WZ08-4673;      Großh.m. Holz,Baustf.,Sanitärkeramik u.Anstrichm.;7167;59952;53418;89;.;.;-;.;925;.;.;.;.;.;.;.;-
WZ08-4674;      Großh.m. Metallwaren u.Ä. f.d.Bau u.Inst.bedarf;7353;46374;40022;130;.;.;-;.;879;.;.;.;.;.;.;.;-
WZ08-4675;      Großhandel mit chemischen Erzeugnissen;2921;31329;27546;33;.;.;-;.;440;.;.;.;.;.;.;.;-
WZ08-4676;      Großhandel mit sonstigen Halbwaren;1141;4920;4400;5;.;.;-;.;68;.;.;.;.;.;.;.;-
WZ08-4677;      Großhandel mit Altmaterialien und Reststoffen;1695;8710;7683;12;.;.;-;.;99;.;.;.;.;.;.;.;-
WZ08-469;    Großhandel ohne ausgeprägten Schwerpunkt;3354;26929;23802;71;.;.;-;.;299;.;.;.;.;.;.;.;-
WZ08-47;  Einzelhandel (ohne Handel mit Kraftfahrzeugen);299859;551076;450367;2764;.;.;-;.;12362;.;.;.;.;.;.;.;-
WZ08-471;    Eh.m. Waren verschiedener Art (in Verkaufsräumen);29624;203621;172263;526;.;.;-;.;5975;.;.;.;.;.;.;.;-
WZ08-4711;      Eh.m. Waren versch. Art, Hauptr. Nahrungsm. usw;23301;190131;162026;442;.;.;-;.;5483;.;.;.;.;.;.;.;-
WZ08-4719;      Sonstiger Einzelhandel mit Waren verschiedener Art;6323;13490;10237;84;.;.;-;.;492;.;.;.;.;.;.;.;-
WZ08-472;    Eh.m. Nahrungsmitteln usw (in Verkaufsräumen);38842;24605;20143;32;.;.;-;.;427;.;.;.;.;.;.;.;-
WZ08-4721;      Einzelhandel mit Obst, Gemüse und Kartoffeln;4275;1959;1630;1;.;.;-;.;47;.;.;.;.;.;.;.;-
WZ08-4722;      Einzelhandel mit Fleisch und Fleischwaren;2836;1394;1009;3;.;.;-;.;50;.;.;.;.;.;.;.;-
WZ08-4723;      Eh.m. Fisch und Fischerzeugnissen, Meeresfrüchten;974;402;301;0;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-4724;      Einzelhandel mit Back- und Süßwaren;4700;1779;1018;5;.;.;-;.;53;.;.;.;.;.;.;.;-
WZ08-4725;      Einzelhandel mit Getränken;8376;5666;4692;5;.;.;-;.;124;.;.;.;.;.;.;.;-
WZ08-4726;      Einzelhandel mit Tabakwaren;11251;8776;7686;8;.;.;-;.;46;.;.;.;.;.;.;.;-
WZ08-4729;      Sonstiger Eh.m. Nahrungs- und Genussmitteln;6430;4630;3808;10;.;.;-;.;85;.;.;.;.;.;.;.;-
WZ08-473;    Einzelhandel mit Motorenkraftstoffen (Tankstellen);5227;17561;16373;3;.;.;-;.;213;.;.;.;.;.;.;.;-
WZ08-474;    Eh.m. Kommunik.- und Info.technik (in Verkaufsr.);14904;19986;17464;18;.;.;-;.;224;.;.;.;.;.;.;.;-
WZ08-4741;      Eh.m. DV-Gerät., peripheren Einheiten und Software;5680;3293;2859;8;.;.;-;.;40;.;.;.;.;.;.;.;-
WZ08-4742;      Einzelhandel mit Telekommunikationsgeräten;4225;1500;1138;2;.;.;-;.;53;.;.;.;.;.;.;.;-
WZ08-4743;      Eh.m. Geräten der Unterhaltungselektronik;4999;15194;13467;8;.;.;-;.;131;.;.;.;.;.;.;.;-
WZ08-475;    Eh.m. sonst. Haush.geräten usw (in Verkaufsräumen);42898;57556;44283;762;.;.;-;.;1281;.;.;.;.;.;.;.;-
WZ08-4751;      Einzelhandel mit Textilien;5787;1782;1158;4;.;.;-;.;51;.;.;.;.;.;.;.;-
WZ08-4752;      Eh.m. Metallw.,Anstrichm.u.Bau-u.Heimwerkerbedarf;12115;21601;17726;107;.;.;-;.;451;.;.;.;.;.;.;.;-
WZ08-4753;      Eh.m. Vorhängen,Teppichen u. Bodenbelägen, Tapeten;3549;2764;2181;3;.;.;-;.;57;.;.;.;.;.;.;.;-
WZ08-4754;      Einzelhandel mit elektrischen Haushaltsgeräten;6124;2870;2275;11;.;.;-;.;40;.;.;.;.;.;.;.;-
WZ08-4759;      Eh.m. Möbeln, Einr.gegenständen und sonst. Hausrat;15323;28540;20942;637;.;.;-;.;681;.;.;.;.;.;.;.;-
WZ08-476;    Eh.m. Sportausrüstg., Verlagserzeugn. u.Spielwaren;23554;16731;13530;20;.;.;-;.;280;.;.;.;.;.;.;.;-
WZ08-4761;      Einzelhandel mit Büchern;3367;3005;2306;.;.;.;-;.;35;.;.;.;.;.;.;.;-
WZ08-4762;      Eh.m. Zeitungen, Zeitschr. u.Schreibw., Bürobedarf;5777;1994;1634;1;.;.;-;.;24;.;.;.;.;.;.;.;-
WZ08-4763;      Eh.m. bespielten Ton- und Bildträgern;257;25;16;.;.;.;-;.;0;.;.;.;.;.;.;.;-
WZ08-4764;      Eh.m. Fahrrädern, Sport- und Campingartikeln;11593;10384;8518;17;.;.;-;.;201;.;.;.;.;.;.;.;-
WZ08-4765;      Einzelhandel mit Spielwaren;2558;1324;1056;2;.;.;-;.;19;.;.;.;.;.;.;.;-
WZ08-477;    Eh.m. sonstigen Gütern (in Verkaufsräumen);98725;118090;95166;226;.;.;-;.;2139;.;.;.;.;.;.;.;-
WZ08-4771;      Einzelhandel mit Bekleidung;21335;25062;16511;62;.;.;-;.;609;.;.;.;.;.;.;.;-
WZ08-4772;      Einzelhandel mit Schuhen und Lederwaren;5192;6205;4444;14;.;.;-;.;171;.;.;.;.;.;.;.;-
WZ08-4773;      Apotheken;15533;49541;45578;14;.;.;-;.;369;.;.;.;.;.;.;.;-
WZ08-4774;      Eh.m. medizinischen und orthopädischen Artikeln;3900;3784;2474;7;.;.;-;.;204;.;.;.;.;.;.;.;-
WZ08-4775;      Eh.m. kosmet. Erzeugnissen und Körperpflegemitteln;2837;14282;11980;107;.;.;-;.;289;.;.;.;.;.;.;.;-
WZ08-4776;      Eh.m. Blumen, Pflanzen, Sämereien, Düngem., usw;16931;5888;4576;9;.;.;-;.;168;.;.;.;.;.;.;.;-
WZ08-4777;      Einzelhandel mit Uhren und Schmuck;6839;3531;2699;3;.;.;-;.;58;.;.;.;.;.;.;.;-
WZ08-4778;      Sonstiger Einzelhandel in Verkaufsräumen;21867;9133;6446;10;.;.;-;.;263;.;.;.;.;.;.;.;-
WZ08-4779;      Einzelhandel mit Antiquitäten und Gebrauchtwaren;4291;663;459;0;.;.;-;.;8;.;.;.;.;.;.;.;-
WZ08-478;    Einzelhandel an Verkaufsständen und auf Märkten;5358;1048;848;0;.;.;-;.;32;.;.;.;.;.;.;.;-
WZ08-4781;      Eh.m. Nahrungsmitteln usw an Verkaufsständen u.Ä.;2970;868;720;0;.;.;-;.;27;.;.;.;.;.;.;.;-
WZ08-4782;      Eh.m. Textilien usw an Verkaufsständen u.Ä.;1430;96;68;0;.;.;-;.;2;.;.;.;.;.;.;.;-
WZ08-4789;      Eh.m. sonstigen Gütern an Verkaufsständen u.Ä.;959;84;60;0;.;.;-;.;3;.;.;.;.;.;.;.;-
WZ08-479;    Einzelhandel (nicht in Verkaufsräumen u.Ä.);40726;91877;70297;1177;.;.;-;.;1790;.;.;.;.;.;.;.;-
WZ08-4791;      Versand- und Internet-Einzelhandel;31963;85322;64647;1172;.;.;-;.;1583;.;.;.;.;.;.;.;-
WZ08-4799;      Sonstiger Eh. (nicht in Verkaufsräumen u.Ä.);8764;6555;5650;5;.;.;-;.;208;.;.;.;.;.;.;.;-
WZ08-H;Verkehr und Lagerei;98486;205968;96069;2797;.;.;-;.;28264;.;.;.;.;.;.;.;-
WZ08-49;  Landverkehr und Transport in Rohrfernleitungen;63286;59161;21278;572;.;.;-;.;9682;.;.;.;.;.;.;.;-
WZ08-491;    Personenbeförderung im Eisenbahnfernverkehr;17;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-492;    Güterbeförderung im Eisenbahnverkehr;195;.;.;.;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-493;    Sonstige Personenbeförderung im Landverkehr;26631;20067;7151;130;.;.;-;.;4360;.;.;.;.;.;.;.;-
WZ08-4931;      Personenbef. im Nahverkehr zu Lande (ohne Taxis);2916;17556;6665;120;.;.;-;.;3684;.;.;.;.;.;.;.;-
WZ08-4932;      Betrieb von Taxis;20798;1065;122;6;.;.;-;.;210;.;.;.;.;.;.;.;-
WZ08-4939;      Sonstige Personenbeförderung im Landverkehr a.n.g.;2918;1445;364;4;.;.;-;.;465;.;.;.;.;.;.;.;-
WZ08-494;    Güterbeförderung i.Straßenverkehr,Umzugstransporte;36412;26430;9480;382;.;.;-;.;3098;.;.;.;.;.;.;.;-
WZ08-4941;      Güterbeförderung im Straßenverkehr;34145;25943;9296;376;.;.;-;.;3055;.;.;.;.;.;.;.;-
WZ08-4942;      Umzugstransporte;2267;487;184;5;.;.;-;.;42;.;.;.;.;.;.;.;-
WZ08-495;    Transport in Rohrfernleitungen;31;.;.;.;.;.;-;.;698;.;.;.;.;.;.;.;-
WZ08-50;  Schifffahrt;1436;27140;15150;166;.;.;-;.;1986;.;.;.;.;.;.;.;-
WZ08-501;    Personenbeförderung i.d. See- u. Küstenschifffahrt;80;1385;605;34;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-502;    Güterbeförderung in der See- und Küstenschifffahrt;473;24482;13976;118;.;.;-;.;1063;.;.;.;.;.;.;.;-
WZ08-503;    Personenbeförderung in der Binnenschifffahrt;350;156;27;6;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-504;    Güterbeförderung in der Binnenschifffahrt;533;1118;543;9;.;.;-;.;94;.;.;.;.;.;.;.;-
WZ08-51;  Luftfahrt;565;10617;2029;31;.;.;-;.;494;.;.;.;.;.;.;.;-
WZ08-511;    Personenbeförderung in der Luftfahrt;500;7942;989;.;.;.;-;.;471;.;.;.;.;.;.;.;-
WZ08-512;    Güterbeförderung in der Luftfahrt u. Raumtransport;66;2676;1041;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-5121;      Güterbeförderung in der Luftfahrt;66;2676;1041;.;.;.;-;.;23;.;.;.;.;.;.;.;-
WZ08-5122;      Raumtransport;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-52;  Lagerei, sonstige Dienstleistungen für den Verkehr;19272;78104;46045;1553;.;.;-;.;14987;.;.;.;.;.;.;.;-
WZ08-521;    Lagerei;1639;8006;3737;508;.;.;-;.;792;.;.;.;.;.;.;.;-
WZ08-522;    Sonstige Dienstleistungen für den Verkehr;17634;70098;42307;1045;.;.;-;.;14195;.;.;.;.;.;.;.;-
WZ08-5221;      Sonstige Dienstleistungen für den Landverkehr;2059;6651;978;22;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-5222;      Sonstige Dienstleistungen für die Schifffahrt;762;1840;831;56;.;.;-;.;.;.;.;.;.;.;.;.;-
WZ08-5223;      Sonstige Dienstleistungen für die Luftfahrt;551;3422;1713;154;.;.;-;.;1577;.;.;.;.;.;.;.;-
WZ08-5224;      Frachtumschlag;357;1754;780;85;.;.;-;.;111;.;.;.;.;.;.;.;-
WZ08-5229;      Sonstige Dienstleistungen für den Verkehr a.n.g.;13906;56431;38006;728;.;.;-;.;2110;.;.;.;.;.;.;.;-
WZ08-53;  Post-, Kurier- und Expressdienste;13926;30947;11567;474;.;.;-;.;1116;.;.;.;.;.;.;.;-
WZ08-531;    Postdienste von Universaldienstleistungsanbietern;-;-;-;-;.;.;-;.;-;.;.;.;.;.;.;.;-
WZ08-532;    Sonstige Post-, Kurier- und Expressdienste;13926;30947;11567;474;.;.;-;.;1116;.;.;.;.;.;.;.;-
WZ08-I;Gastgewerbe;214558;34941;1157;425;.;.;-;.;3337;.;.;.;.;.;.;.;-
WZ08-55;  Beherbergung;43251;10918;276;201;.;.;-;.;1890;.;.;.;.;.;.;.;-
WZ08-551;    Hotels, Gasthöfe und Pensionen;29176;9193;217;188;.;.;-;.;1525;.;.;.;.;.;.;.;-
WZ08-552;    Ferienunterkünfte u. ähnliche Beherbergungsstätten;11102;1183;26;8;.;.;-;.;215;.;.;.;.;.;.;.;-
WZ08-553;    Campingplätze;1613;345;32;3;.;.;-;.;92;.;.;.;.;.;.;.;-
WZ08-559;    Sonstige Beherbergungsstätten;1360;198;2;2;.;.;-;.;57;.;.;.;.;.;.;.;-
WZ08-56;  Gastronomie;171307;24023;881;224;.;.;-;.;1447;.;.;.;.;.;.;.;-
WZ08-561;    Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.;128401;17301;513;57;.;.;-;.;972;.;.;.;.;.;.;.;-
WZ08-562;    Caterer und sonstige Verpflegungsdienstleistungen;14251;4735;308;160;.;.;-;.;358;.;.;.;.;.;.;.;-
WZ08-5621;      Event-Caterer;5717;1182;55;51;.;.;-;.;99;.;.;.;.;.;.;.;-
WZ08-5629;      Erbringung sonstiger Verpflegungsdienstleistungen;8534;3553;252;110;.;.;-;.;259;.;.;.;.;.;.;.;-
WZ08-563;    Ausschank von Getränken;28655;1987;59;7;.;.;-;.;117;.;.;.;.;.;.;.;-
WZ08-J;Information und Kommunikation;120459;171606;80088;803;.;.;-;.;15417;.;.;.;.;.;.;.;-
WZ08-58;  Verlagswesen;7078;16509;5070;51;.;.;-;.;496;.;.;.;.;.;.;.;-
WZ08-581;    Verlegen von Büchern usw., sonstiges Verlagswesen;5606;15262;4680;50;.;.;-;.;442;.;.;.;.;.;.;.;-
WZ08-5811;      Verlegen von Büchern;1491;3151;1044;8;.;.;-;.;66;.;.;.;.;.;.;.;-
WZ08-5812;      Verlegen von Adressbüchern und Verzeichnissen;125;547;144;0;.;.;-;.;4;.;.;.;.;.;.;.;-
WZ08-5813;      Verlegen von Zeitungen;550;7084;2012;26;.;.;-;.;286;.;.;.;.;.;.;.;-
WZ08-5814;      Verlegen von Zeitschriften;1838;3699;1169;7;.;.;-;.;70;.;.;.;.;.;.;.;-
WZ08-5819;      Sonstiges Verlagswesen (ohne Software);1600;782;310;8;.;.;-;.;16;.;.;.;.;.;.;.;-
WZ08-582;    Verlegen von Software;1472;1247;390;2;.;.;-;.;54;.;.;.;.;.;.;.;-
WZ08-5821;      Verlegen von Computerspielen;127;417;113;.;.;.;-;.;8;.;.;.;.;.;.;.;-
WZ08-5829;      Verlegen von sonstiger Software;1345;830;277;.;.;.;-;.;46;.;.;.;.;.;.;.;-
WZ08-59;  Film, TV-Programme, Kinos, Tonstudios, Musikverlag;10332;6447;3166;15;.;.;-;.;209;.;.;.;.;.;.;.;-
WZ08-591;    Film, TV-Programme, Verleih, Vertrieb, Kinos;8353;4656;2155;12;.;.;-;.;191;.;.;.;.;.;.;.;-
WZ08-5911;      H.v. Filmen, Videofilmen und Fernsehprogrammen;6130;3056;1361;10;.;.;-;.;92;.;.;.;.;.;.;.;-
WZ08-5912;      Nachbearbeitung und sonstige Filmtechnik;1224;249;101;.;.;.;-;.;16;.;.;.;.;.;.;.;-
WZ08-5913;      Filmverleih und -vertrieb (ohne Videotheken);248;887;562;.;.;.;-;.;5;.;.;.;.;.;.;.;-
WZ08-5914;      Kinos;750;464;131;1;.;.;-;.;77;.;.;.;.;.;.;.;-
WZ08-592;    Tonstudios, Musikverlag u.Ä.;1979;1790;1011;3;.;.;-;.;18;.;.;.;.;.;.;.;-
WZ08-60;  Rundfunkveranstalter;416;11269;3312;34;.;.;-;.;596;.;.;.;.;.;.;.;-
WZ08-601;    Hörfunkveranstalter;247;1189;265;.;.;.;-;.;54;.;.;.;.;.;.;.;-
WZ08-602;    Fernsehveranstalter;169;10081;3047;.;.;.;-;.;543;.;.;.;.;.;.;.;-
WZ08-61;  Telekommunikation;3034;46662;22397;121;.;.;-;.;8028;.;.;.;.;.;.;.;-
WZ08-611;    Leitungsgebundene Telekommunikation;588;24877;9269;61;.;.;-;.;4619;.;.;.;.;.;.;.;-
WZ08-612;    Drahtlose Telekommunikation;302;11614;5802;31;.;.;-;.;3027;.;.;.;.;.;.;.;-
WZ08-613;    Satellitentelekommunikation;57;338;255;.;.;.;-;.;9;.;.;.;.;.;.;.;-
WZ08-619;    Sonstige Telekommunikation;2087;9834;7071;.;.;.;-;.;373;.;.;.;.;.;.;.;-
WZ08-62;  Dienstleistungen der Informationstechnologie;88751;80619;41428;466;.;.;-;.;4971;.;.;.;.;.;.;.;-
WZ08-6201;      Programmierungstätigkeiten;40572;34681;16048;248;.;.;-;.;1147;.;.;.;.;.;.;.;-
WZ08-6202;      Beratungsleistungen der Informationstechnologie;31235;21714;12752;81;.;.;-;.;1504;.;.;.;.;.;.;.;-
WZ08-6203;      Betrieb von Datenverarbeitungseinrichtungen;2052;6032;3573;39;.;.;-;.;499;.;.;.;.;.;.;.;-
WZ08-6209;      Sonstige Dienstleist. der Informationstechnologie;14893;18193;9055;97;.;.;-;.;1821;.;.;.;.;.;.;.;-
WZ08-63;  Informationsdienstleistungen;10847;10100;4715;115;.;.;-;.;1117;.;.;.;.;.;.;.;-
WZ08-631;    Datenverarbeitung, Hosting u.Ä., Webportale;3707;8292;3724;108;.;.;-;.;1029;.;.;.;.;.;.;.;-
WZ08-6311;      Datenverarbeitung, Hosting, verb. Tätigkeiten;1501;4035;1582;80;.;.;-;.;907;.;.;.;.;.;.;.;-
WZ08-6312;      Webportale;2206;4257;2142;27;.;.;-;.;122;.;.;.;.;.;.;.;-
